;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
2513;NA;10.69;10.69;12.59;12.28;24;1618 A1_043SEL_24
2514;13;13;12.9;14.92;14.23;25;1618 A1_043SEL_25
2515;NA;12.05;12.05;13.98;13.44;26;1618 A1_043SEL_26
2516;NA;14.61;14.61;17.13;16.07;27;1618 A1_043SEL_27
2517;NA;15.78;15.78;18.92;17.57;28;1618 A1_043SEL_28
2518;NA;12.26;12.26;14.2;13.63;29;1618 A1_043SEL_29
2519;NA;14.48;14.48;16.94;15.91;30;1618 A1_043SEL_30
2520;10;10;11.55;13.45;13;31;1618 A1_043SEL_31
2521;NA;16.01;16.01;19.31;17.91;32;1618 A1_043SEL_32
2522;13;13;15.12;17.87;16.68;33;1618 A1_043SEL_33
2523;10;10;12.12;14.06;13.5;34;1618 A1_043SEL_34
2524;NA;13.36;13.36;15.48;14.69;36;1618 A1_043SEL_36
2525;NA;11.4;11.4;13.3;12.87;37;1618 A1_043SEL_37
2526;NA;9.72;9.72;11.69;11.52;38;1618 A1_043SEL_38
2527;NA;10.09;10.09;12.02;11.8;39;1618 A1_043SEL_39
2528;NA;13.74;13.74;15.96;15.09;40;1618 A1_043SEL_40
2529;NA;15.61;15.61;18.63;17.33;41;1618 A1_043SEL_41
2530;NA;11.09;11.09;12.99;12.61;42;1618 A1_043SEL_42
2531;NA;15.24;15.24;18.05;16.84;43;1618 A1_043SEL_43
2532;NA;13.48;13.48;15.62;14.81;45;1618 A1_043SEL_45
2533;NA;13.08;13.08;15.14;14.41;47;1618 A1_043SEL_47
2534;NA;16.17;16.17;19.59;18.14;48;1618 A1_043SEL_48
2535;NA;13.19;13.19;15.28;14.52;49;1618 A1_043SEL_49
2536;NA;12.12;12.12;14.06;13.5;50;1618 A1_043SEL_50
2537;NA;14.92;14.92;17.56;16.43;51;1618 A1_043SEL_51
2538;NA;13.36;13.36;15.48;14.69;52;1618 A1_043SEL_52
2539;NA;18.98;18.98;26.4;24.86;1;1716 A1_1_1
2540;NA;16.81;16.81;20.81;19.68;2;1716 A1_1_2
2541;17.5;17.5;19.87;29.71;28.3;3;1716 A1_1_3
2542;14;14;18.37;24.52;23.06;4;1716 A1_1_4
2543;14;14;19.91;29.87;28.48;5;1716 A1_1_5
2544;16;16;19.63;28.74;27.25;6;1716 A1_1_6
2545;19.5;19.5;20.3;31.53;30.38;7;1716 A1_1_7
2546;NA;19.21;19.21;27.18;25.64;8;1716 A1_1_8
2547;NA;18.31;18.31;24.36;22.91;9;1716 A1_1_9
2548;17;17;19.13;26.88;25.34;10;1716 A1_1_10
2549;NA;17.43;17.43;22.13;20.86;11;1716 A1_1_11
2550;NA;19.56;19.56;28.47;26.97;12;1716 A1_1_12
2551;NA;19.47;19.47;28.11;26.59;13;1716 A1_1_13
2552;NA;19.89;19.89;29.79;28.39;14;1716 A1_1_14
2553;NA;18.07;18.07;23.69;22.29;15;1716 A1_1_15
2554;NA;17.74;17.74;22.86;21.53;16;1716 A1_1_16
2555;NA;18.61;18.61;25.22;23.73;17;1716 A1_1_17
2556;NA;18.81;18.81;25.82;24.3;18;1716 A1_1_18
2557;NA;19.42;19.42;27.92;26.4;19;1716 A1_1_19
2558;NA;18.95;18.95;26.29;24.76;20;1716 A1_1_20
2559;NA;18.41;18.41;24.64;23.17;21;1716 A1_1_21
2560;NA;18.41;18.41;24.64;23.17;22;1716 A1_1_22
2561;NA;18.57;18.57;25.11;23.62;23;1716 A1_1_23
2562;NA;18.57;18.57;25.11;23.62;24;1716 A1_1_24
2563;9.5;9.5;18.26;24.19;22.75;25;1716 A1_1_25
2564;16.5;16.5;19.95;30.03;28.65;26;1716 A1_1_26
2565;NA;19.82;19.82;29.5;27.98;1;1717 A1_049CUC_1
2566;NA;18.6;18.6;25.19;23.61;2;1717 A1_049CUC_2
2567;NA;19.06;19.06;26.64;25.02;3;1717 A1_049CUC_3
2568;17;17;19.75;29.22;27.68;4;1717 A1_049CUC_4
2569;NA;19.21;19.21;27.18;25.56;5;1717 A1_049CUC_5
2570;NA;19.94;19.94;29.98;28.5;6;1717 A1_049CUC_6
2571;NA;19.43;19.43;27.98;26.38;7;1717 A1_049CUC_7
2572;NA;20.37;20.37;31.82;30.63;8;1717 A1_049CUC_8
2573;NA;17.28;17.28;21.79;20.5;9;1717 A1_049CUC_9
2574;NA;18.9;18.9;26.11;24.51;10;1717 A1_049CUC_10
2575;NA;17.95;17.95;23.39;21.94;12;1717 A1_049CUC_12
2576;19;19;20.29;31.48;30.23;13;1717 A1_049CUC_13
2577;NA;18.78;18.78;25.75;24.15;14;1717 A1_049CUC_14
2578;NA;15.68;15.68;18.75;17.83;15;1717 A1_049CUC_15
2579;NA;18.82;18.82;25.86;24.26;16;1717 A1_049CUC_16
2580;7.5;7.5;20.2;31.09;29.77;17;1717 A1_049CUC_17
2581;NA;18.43;18.43;24.68;23.13;18;1717 A1_049CUC_18
2582;11.5;11.5;16.32;19.86;18.79;19;1717 A1_049CUC_19
2583;14;14;19.11;26.81;25.19;20;1717 A1_049CUC_20
2584;16;16;17.95;23.39;21.94;21;1717 A1_049CUC_21
2585;NA;20.93;20.93;34.18;33.7;22;1717 A1_049CUC_22
2586;NA;18.55;18.55;25.03;23.39;1;1720 A1_054CUC_1
2587;13.75;13.75;18.31;24.36;22.76;2.1;1720 A1_054CUC_2.1
2588;NA;17.65;17.65;22.64;21.18;2.2;1720 A1_054CUC_2.2
2589;NA;11.17;11.17;13.07;12.93;2.3;1720 A1_054CUC_2.3
2590;13;13;18.59;25.15;23.5;3;1720 A1_054CUC_3
2591;15.75;15.75;18.76;25.68;24.01;4.1;1720 A1_054CUC_4.1
2592;NA;13.53;13.53;15.69;15.16;4.2;1720 A1_054CUC_4.2
2593;NA;12.58;12.58;14.57;14.21;4.3;1720 A1_054CUC_4.3
2594;13.75;13.75;19.25;27.31;25.61;5;1720 A1_054CUC_5
2595;11;11;17.55;22.41;20.98;6;1720 A1_054CUC_6
2596;NA;19.23;19.23;27.25;25.55;7;1720 A1_054CUC_7
2597;NA;19.79;19.79;29.36;27.74;8;1720 A1_054CUC_8
2598;NA;19.55;19.55;28.44;26.76;9.1;1720 A1_054CUC_9.1
2599;NA;17.37;17.37;21.99;20.6;9.2;1720 A1_054CUC_9.2
2600;NA;15.71;15.71;18.81;17.82;9.3;1720 A1_054CUC_9.3
2601;NA;18.66;18.66;25.38;23.72;10.1;1720 A1_054CUC_10.1
2602;NA;14.52;14.52;17;16.28;10.2;1720 A1_054CUC_10.2
2603;NA;15.04;15.04;17.74;16.91;10.3;1720 A1_054CUC_10.3
