;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
3860;4;4;5.52;10.2;10.38;5;0428 A2_105COL_5
3861;NA;4.75;4.75;9.17;9.48;6;0428 A2_105COL_6
3862;NA;6.48;6.48;11.43;11.44;7;0428 A2_105COL_7
3863;NA;5.1;5.1;9.65;9.89;8;0428 A2_105COL_8
3864;NA;4.75;4.75;9.17;9.48;9;0428 A2_105COL_9
3865;NA;4.1;4.1;8.29;8.69;10;0428 A2_105COL_10
3866;NA;5.52;5.52;10.2;10.38;11;0428 A2_105COL_11
3867;NA;4.53;4.53;8.88;9.22;12;0428 A2_105COL_12
3868;NA;6.27;6.27;11.18;11.22;13;0428 A2_105COL_13
3869;NA;5.8;5.8;10.56;10.69;14;0428 A2_105COL_14
3870;NA;3.52;3.52;7.46;7.94;16;0428 A2_105COL_16
3871;NA;4.82;4.82;9.27;9.56;17;0428 A2_105COL_17
3872;NA;5.24;5.24;9.84;10.06;18;0428 A2_105COL_18
3873;4.25;4.25;4.75;9.17;9.48;19;0428 A2_105COL_19
3874;4.75;4.75;6.07;10.92;10.99;20;0428 A2_105COL_20
3875;NA;5.52;5.52;10.2;10.38;21;0428 A2_105COL_21
3876;NA;4.75;4.75;9.17;9.48;22;0428 A2_105COL_22
3877;NA;4.03;4.03;8.19;8.59;23;0428 A2_105COL_23
3878;NA;6.27;6.27;11.18;11.22;24;0428 A2_105COL_24
3879;NA;4.68;4.68;9.08;9.39;25;0428 A2_105COL_25
3880;NA;6.14;6.14;11;11.07;26;0428 A2_105COL_26
3881;7;7;5.1;9.65;9.89;27;0428 A2_105COL_27
3882;4.75;4.75;5.8;10.56;10.69;28;0428 A2_105COL_28
3883;4.5;4.5;5.87;10.65;10.77;29;0428 A2_105COL_29
3884;NA;5.24;5.24;9.84;10.06;30;0428 A2_105COL_30
3885;NA;4.46;4.46;8.79;9.13;31;0428 A2_105COL_31
3886;NA;5.66;5.66;10.38;10.53;32;0428 A2_105COL_32
3887;NA;5.87;5.87;10.65;10.77;33;0428 A2_105COL_33
3888;NA;5.1;5.1;9.65;9.89;34;0428 A2_105COL_34
3889;NA;4.82;4.82;9.27;9.56;35;0428 A2_105COL_35
3890;NA;5.45;5.45;10.11;10.3;36;0428 A2_105COL_36
3891;NA;5.31;5.31;9.93;10.14;37;0428 A2_105COL_37
3892;NA;6.07;6.07;10.92;10.99;38;0428 A2_105COL_38
3893;NA;6.07;6.07;10.92;10.99;39;0428 A2_105COL_39
3894;NA;4.68;4.68;9.08;9.39;40;0428 A2_105COL_40
3895;3.75;3.75;4.61;8.98;9.3;41;0428 A2_105COL_41
3896;4.25;4.25;6.34;11.26;11.29;42;0428 A2_105COL_42
3897;4;4;6.27;11.18;11.22;43;0428 A2_105COL_43
3898;NA;5.1;5.1;9.65;9.89;44;0428 A2_105COL_44
3899;3.75;3.75;4.32;8.59;8.95;45;0428 A2_105COL_45
3900;NA;4.96;4.96;9.46;9.73;46;0428 A2_105COL_46
3901;NA;6.21;6.21;11.09;11.15;47;0428 A2_105COL_47
3902;5;5;6.27;11.18;11.22;48;0428 A2_105COL_48
3903;5;5;5.66;10.38;10.53;49;0428 A2_105COL_49
3904;NA;6.14;6.14;11;11.07;50;0428 A2_105COL_50
3905;NA;5.8;5.8;10.56;10.69;51;0428 A2_105COL_51
